"case","beta0","se_beta0","pval_beta0","beta0_c","se_beta0_c","pval_beta0_c","beta2","se_beta2","pval_beta2","beta0Tbeta2","beta2_flip","meta.analysis.paper","meta.analysis.year","windows","grouped_es","meta.analysis.paper.1"
"MA_1",0.17958028961793,0.0297682902552716,1.99101536724082e-09,0.154946006273603,0.052190578953377,0.00303266420790509,-0.00166263019002209,0.00287760265471663,0.563490124512973,-0.000298575611051699,-0.00166263019002209,"bird.et.al.2019.ecoletts",2019,"after","SMD","bird.et.al.2019.ecoletts"
"MA_2",-0.0141073376390114,0.111113614902565,0.899185640225454,0.0882555497319339,0.174900610220028,0.614786035860305,0.011019664827172,0.0145027960604098,0.448884314720092,-0.00015545813238563,-0.011019664827172,"charlebois.sargent.2017.ecoletts",2017,"after","SMD","charlebois.sargent.2017.ecoletts"
"MA_3",-0.123758488354612,0.0512264711110058,0.0158679548725582,-0.0977916989622883,0.0736466325751247,0.184520067716988,0.00523637752830143,0.0106618442981224,0.623436805025586,-0.000648046167356796,-0.00523637752830143,"crawford.et.al.2019.ecoletts",2019,"after","lnRR","crawford.et.al.2019.ecoletts"
"MA_4",0.631162391492119,0.219950762473972,0.0101932205438264,0.544745543512679,0.303621893262337,0.0905922625802779,-0.0127502910717902,0.03088147823324,0.684856453364736,-0.00804750420509726,-0.0127502910717902,"delavaux.et.al.2017.ecology",2017,"after","SMD","delavaux.et.al.2017.ecology"
"MA_5",0.300710894280406,0.584160757190415,0.642236249251187,0.369958224441904,0.6742260575728,0.63827336924966,0.111006573697061,0.532645428660979,0.854209145890619,0.033380886047447,0.111006573697061,"delavaux.et.al.2017.ecology",2017,"after","SMD","delavaux.et.al.2017.ecology"
"MA_6",0.0885176358605609,0.141483664479774,0.534783933256261,0.179999918613214,0.324134580929947,0.581550368920484,0.0123396619597449,0.0393361905607451,0.755267616150815,0.00109227770399636,0.0123396619597449,"delavaux.et.al.2017.ecology",2017,"after","SMD","delavaux.et.al.2017.ecology"
"MA_7",0.356778877013695,0.0919357165648586,0.000183918127730937,0.415333383047317,0.141991333030846,0.004244553993259,0.00879283597174021,0.0162497747832652,0.589614979900162,0.00313709814377788,0.00879283597174021,"delavaux.et.al.2017.ecology",2017,"after","SMD","delavaux.et.al.2017.ecology"
"MA_8",0.13469965465156,0.0510271877575077,0.00886163582869294,0.170624253273331,0.080778676232598,0.0357440978113854,0.00369573390383811,0.00644218145643125,0.566746657005869,0.000497814080530878,0.00369573390383811,"delavaux.et.al.2017.ecology",2017,"after","SMD","delavaux.et.al.2017.ecology"
"MA_9",0.383636319896823,0.178929394418851,0.0363832268746577,0.521001037149862,0.295850596920205,0.0837924003051469,0.0138374042037971,0.0241612544557423,0.569174705591647,0.00530853082566886,0.0138374042037971,"delavaux.et.al.2017.ecology",2017,"after","SMD","delavaux.et.al.2017.ecology"
"MA_10",0.0551864599200397,0.176827231755747,0.755897944858614,0.0823803103454124,0.222445010121402,0.71226351383588,0.00700153966144772,0.0347473824915773,0.840901783790154,0.000386390187906122,0.00700153966144772,"delavaux.et.al.2017.ecology",2017,"after","SMD","delavaux.et.al.2017.ecology"
"MA_11",0.554852817742523,0.125375069304749,2.21389656522501e-05,0.559580238049553,0.181589229449836,0.00258684977147734,0.000418238819785054,0.0154096697818538,0.978394890885926,0.000232060987641171,0.000418238819785054,"delavaux.et.al.2017.ecology",2017,"after","SMD","delavaux.et.al.2017.ecology"
